,Quarter,Tm,Detail,SFO,IND
0,1.0,49ers,Mike Cofer 38 yard field goal,3,0
1,1.0,Colts,Dean Biasucci 31 yard field goal,3,3
2,2.0,49ers,Roger Craig 1 yard rush (Mike Cofer kick),10,3
3,2.0,Colts,Bill Brooks 22 yard pass from Chris Chandler (Dean Biasucci kick),10,10
4,2.0,49ers,Mike Cofer 26 yard field goal,13,10
5,3.0,49ers,Roger Craig 4 yard rush (Mike Cofer kick),20,10
6,3.0,49ers,Mike Cofer 31 yard field goal,23,10
7,4.0,Colts,Chris Chandler 1 yard rush (Dean Biasucci kick),23,17
8,4.0,49ers,Jerry Rice 58 yard pass from Joe Montana (Mike Cofer kick),30,17
9,4.0,Colts,Albert Bentley special teams fumble recovery in end zone (Dean Biasucci kick),30,24
