,Quarter,Time,Tm,Detail,BUF,MIA
0,2.0,0:25,Dolphins,Chris Chambers 12 yard pass from Jay Fiedler (Olindo Mare kick),0,7
1,3.0,5:40,Dolphins,Olindo Mare 26 yard field goal,0,10
2,4.0,13:51,Bills,Nate Clements 54 yard interception return (Rian Lindell kick),7,10
3,4.0,1:52,Dolphins,Ricky Williams 1 yard rush (Olindo Mare kick),7,17
