,Quarter,Tm,Detail,HOU,BUF
0,1.0,Oilers,Willie Rodgers 13 yard rush (Skip Butler kick),7,0
1,1.0,Oilers,Mack Alston 25 yard pass from Dan Pastorini (Skip Butler kick),14,0
2,2.0,Bills,John Leypoldt 32 yard field goal,14,3
3,2.0,Bills,John Leypoldt 28 yard field goal,14,6
4,3.0,Bills,John Leypoldt 22 yard field goal,14,9
5,3.0,Oilers,Vic Washington 9 yard rush (Skip Butler kick),21,9
