,Quarter,Tm,Detail,MIA,BAL
0,1.0,Dolphins,Norris Thomas 53 yard interception return (Garo Yepremian kick),7,0
1,1.0,Dolphins,Nat Moore 5 yard pass from Don Strock (Garo Yepremian kick),14,0
2,2.0,Dolphins,Bruce Hardy 2 yard pass from Don Strock (Garo Yepremian kick),21,0
3,2.0,Dolphins,Andre Tillman 14 yard pass from Don Strock (Garo Yepremian kick),28,0
4,4.0,Dolphins,Gary Davis 8 yard rush (Garo Yepremian kick),35,0
5,4.0,Dolphins,Benny Malone 5 yard rush (Garo Yepremian kick),42,0
