,Quarter,Time,Tm,Detail,SFO,BAL
0,1.0,10:36,Ravens,Anquan Boldin 13 yard pass from Joe Flacco (Justin Tucker kick),0,7
1,1.0,3:58,49ers,David Akers 36 yard field goal,3,7
2,2.0,7:10,Ravens,Dennis Pitta 1 yard pass from Joe Flacco (Justin Tucker kick),3,14
3,2.0,1:45,Ravens,Jacoby Jones 56 yard pass from Joe Flacco (Justin Tucker kick),3,21
4,2.0,0:00,49ers,David Akers 27 yard field goal,6,21
5,3.0,14:49,Ravens,Jacoby Jones 108 yard kickoff return (Justin Tucker kick),6,28
6,3.0,7:20,49ers,Michael Crabtree 31 yard pass from Colin Kaepernick (David Akers kick),13,28
7,3.0,4:59,49ers,Frank Gore 6 yard rush (David Akers kick),20,28
8,3.0,3:10,49ers,David Akers 34 yard field goal,23,28
9,4.0,12:54,Ravens,Justin Tucker 19 yard field goal,23,31
10,4.0,9:57,49ers,Colin Kaepernick 15 yard rush (pass failed),29,31
11,4.0,4:19,Ravens,Justin Tucker 38 yard field goal,29,34
12,4.0,0:04,49ers,"Safety, Sam Koch rushed out of bounds in end zone.",31,34
