,Quarter,Tm,Detail,GNB,BCL
0,1.0,Packers,Billy Grimes 1 yard rush (Ted Fritsch kick),7,0
1,2.0,Colts,Jim Spavital 46 yard rush (Rex Grossman kick),7,7
2,2.0,Colts,Jim Spavital 45 yard pass from Y.A. Tittle (Rex Grossman kick),7,14
3,2.0,Packers,Larry Coutre 15 yard pass from Paul Christman (Ted Fritsch kick),14,14
4,3.0,Packers,Al Baldwin 40 yard pass from Paul Christman (Ted Fritsch kick),21,14
5,4.0,Colts,Jim Spavital 96 yard rush,21,20
6,4.0,Colts,Jim Owens 25 yard interception return (Rex Grossman kick),21,27
7,4.0,Colts,Frank Spaniel 29 yard interception return (Rex Grossman kick),21,34
8,4.0,Colts,Herb Rich 45 yard interception return (Rex Grossman kick),21,41
