,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,"Safety, Robustelli tackled Mann in end zone",0,2
1,2.0,Giants,Ken MacAfee 6 yard pass from Don Heinrich (Ben Agajanian kick),0,9
2,2.0,Cardinals,Pat Summerall 30 yard field goal,3,9
3,3.0,Giants,Alex Webster 12 yard rush (Ben Agajanian kick),3,16
4,4.0,Giants,Frank Gifford 11 yard pass from Charlie Conerly (Ben Agajanian kick),3,23
5,4.0,Cardinals,Ollie Matson 11 yard pass from Jim Root (Pat Summerall kick),10,23
