,Quarter,Tm,Detail,GNB,DAL
0,1.0,Packers,Joe Danelo 24 yard field goal,3,0
1,3.0,Cowboys,Robert Newhouse 1 yard rush (Toni Fritsch kick),3,7
2,3.0,Packers,Willard Harrell 26 yard rush,9,7
3,3.0,Cowboys,Doug Dennison 3 yard rush (Toni Fritsch kick),9,14
4,4.0,Cowboys,Toni Fritsch 24 yard field goal,9,17
5,4.0,Packers,Joe Danelo 29 yard field goal,12,17
6,4.0,Packers,Rich McGeorge 26 yard pass from John Hadl (Joe Danelo kick),19,17
