,Quarter,Tm,Detail,MIN,STL
0,1.0,Cardinals,Neil O'Donoghue 19 yard field goal,0,3
1,1.0,Cardinals,Pat Tilley 37 yard pass from Jim Hart (Neil O'Donoghue kick),0,10
2,1.0,Cardinals,Neil O'Donoghue 23 yard field goal,0,13
3,2.0,Vikings,Rick Danmeier 36 yard field goal,3,13
4,3.0,Vikings,Sammy White 15 yard pass from Tommy Kramer (Rick Danmeier kick),10,13
5,3.0,Cardinals,Wayne Morris 13 yard rush (Neil O'Donoghue kick),10,20
6,4.0,Cardinals,Mel Gray 8 yard pass from Jim Hart (Neil O'Donoghue kick),10,27
7,4.0,Vikings,Sammy White 22 yard pass from Tommy Kramer (Rick Danmeier kick),17,27
8,4.0,Cardinals,Neil O'Donoghue 46 yard field goal,17,30
