,Quarter,Tm,Detail,DAL,CHI
0,1.0,Bears,Mac Percival 33 yard field goal,0,3
1,2.0,Cowboys,Toni Fritsch 25 yard field goal,3,3
2,2.0,Cowboys,Otto Stowe 21 yard pass from Roger Staubach (Toni Fritsch kick),10,3
3,2.0,Cowboys,Bob Hayes 18 yard pass from Roger Staubach (Toni Fritsch kick),17,3
4,3.0,Bears,Ike Hill 59 yard punt return (Mac Percival kick),17,10
5,4.0,Bears,Carl Garrett 15 yard rush (Mac Percival kick),17,17
6,4.0,Cowboys,Toni Fritsch 11 yard field goal,20,17
