,Quarter,Tm,Detail,STL,BUF
0,1.0,Cardinals,MacArthur Lane 1 yard rush (Jim Bakken kick),7,0
1,1.0,Cardinals,Cid Edwards 1 yard rush (Jim Bakken kick),14,0
2,2.0,Bills,"Safety, Chandler tackled Edwards in end zone",14,2
3,2.0,Bills,Ted Koy 20 yard pass from Dennis Shaw (John Leypoldt kick),14,9
4,3.0,Cardinals,Jackie Smith 10 yard pass from Jim Hart (Jim Bakken kick),21,9
5,3.0,Bills,Greg Jones 7 yard pass from Dennis Shaw (John Leypoldt kick),21,16
6,4.0,Cardinals,Jim McFarland 5 yard pass from Jim Hart (Jim Bakken kick),28,16
7,4.0,Bills,Alvin Wyatt 61 yard punt return (John Leypoldt kick),28,23
