,Quarter,Time,Tm,Detail,MIN,GNB
0,1.0,9:39,Packers,Randall Cobb 8 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,1.0,5:18,Packers,Jordy Nelson 66 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2,2.0,6:51,Packers,Julius Peppers 49 yard interception return (Mason Crosby kick),0,21
3,2.0,4:51,Packers,Davante Adams 11 yard pass from Aaron Rodgers (Mason Crosby kick),0,28
4,3.0,10:33,Packers,Eddie Lacy 11 yard rush (Mason Crosby kick),0,35
5,3.0,3:42,Packers,Eddie Lacy 10 yard rush (Mason Crosby kick),0,42
6,4.0,14:54,Vikings,Christian Ponder 6 yard rush (Blair Walsh kick),7,42
7,4.0,10:07,Vikings,Blair Walsh 26 yard field goal,10,42
