,Quarter,Tm,Detail,PHI,STL
0,1.0,Cardinals,Stump Mitchell 24 yard pass from Neil Lomax (Neil O'Donoghue kick),0,7
1,2.0,Eagles,Paul McFadden 31 yard field goal,3,7
2,2.0,Eagles,Paul McFadden 43 yard field goal,6,7
3,3.0,Cardinals,Pat Tilley 19 yard pass from Neil Lomax (Neil O'Donoghue kick),6,14
4,4.0,Eagles,Mike Quick 16 yard pass from Joe Pisarcik (Paul McFadden kick),13,14
5,4.0,Eagles,Paul McFadden 32 yard field goal,16,14
6,4.0,Cardinals,Neil O'Donoghue 44 yard field goal,16,17
