,Quarter,Tm,Detail,MIN,TAM
0,1.0,Vikings,Dale Dawson 34 yard field goal,3,0
1,1.0,Buccaneers,Van Tiffin 50 yard field goal,3,3
2,3.0,Buccaneers,Arthur Wells special teams fumble recovery in end zone (Van Tiffin kick),3,10
3,3.0,Vikings,Jeff Womack 23 yard pass from Tony Adams (Dale Dawson kick),10,10
4,3.0,Buccaneers,Kevin Walker 30 yard interception return (Van Tiffin kick),10,17
5,4.0,Buccaneers,Van Tiffin 37 yard field goal,10,20
