,Quarter,Tm,Detail,MIA,BAL
0,1.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),7,0
1,2.0,Dolphins,Larry Csonka 1 yard rush,13,0
2,2.0,Dolphins,Garo Yepremian 24 yard field goal,16,0
3,3.0,Dolphins,Mercury Morris 7 yard rush (Garo Yepremian kick),23,0
