,Quarter,Tm,Detail,MIA,OAK
0,1.0,Raiders,George Blanda 12 yard field goal,0,3
1,2.0,Raiders,George Blanda 46 yard field goal,0,6
2,3.0,Raiders,George Blanda 19 yard field goal,0,9
3,4.0,Raiders,George Blanda 10 yard field goal,0,12
4,4.0,Dolphins,Jim Mandich 28 yard pass from Bob Griese (Garo Yepremian kick),7,12
