,Quarter,Tm,Detail,OAK,DEN
0,1.0,Raiders,Marv Hubbard 3 yard rush (George Blanda kick),7,0
1,1.0,Broncos,Jim Turner 49 yard field goal,7,3
2,1.0,Broncos,Rod Sherman 23 yard pass from Charley Johnson (Jim Turner kick),7,10
3,2.0,Raiders,Fred Biletnikoff 27 yard pass from Daryle Lamonica (George Blanda kick),14,10
4,2.0,Raiders,George Blanda 38 yard field goal,17,10
5,2.0,Raiders,George Blanda 23 yard field goal,20,10
6,2.0,Broncos,Jim Turner 45 yard field goal,20,13
7,3.0,Raiders,George Blanda 44 yard field goal,23,13
8,4.0,Raiders,Charlie Smith 5 yard rush (George Blanda kick),30,13
9,4.0,Raiders,Fred Biletnikoff 7 yard pass from Daryle Lamonica (George Blanda kick),37,13
10,4.0,Broncos,Billy Masters 3 yard pass from Charley Johnson (Jim Turner kick),37,20
