,Quarter,Tm,Detail,DET,CHI
0,2,Lions,Errol Mann 27 yard field goal,3,0
1,3,Bears,Johnny Musso 3 yard rush (Bob Thomas kick),3,7
2,4,Bears,Bob Thomas 27 yard field goal,3,10
