,Quarter,Tm,Detail,POT,FRN
0,1,Yellow Jackets,Johnny Roepke 12 yard rush,0,6
1,2,Yellow Jackets,Hust Stockton 1 yard rush,0,12
2,3,Yellow Jackets,Tony Kostos unknown yard pass from Hust Stockton (Tony Kostos pass from Hust Stockton),0,19
