,Quarter,Tm,Detail,GNB,NYG
0,1.0,Giants,Dale Burnett 84 yard interception return (Ken Strong kick),0,7
1,3.0,Giants,Red Badgro 35 yard pass from Harry Newman (Ken Strong kick),0,14
2,3.0,Giants,Ken Strong 30 yard field goal,0,17
3,4.0,Packers,Milt Gantenbein 24 yard pass from Arnie Herber,6,17
