,Quarter,Tm,Detail,BOS,NYG
0,1,Yanks,Don Currivan 78 yard pass from Paul Governali (Frank Maznicki kick),7,0
1,2,Yanks,Frank Seno 11 yard pass from Paul Governali (Frank Maznicki kick),14,0
