,Quarter,Tm,Detail,HOU,NWE
0,1.0,Patriots,Jason Staurovsky 33 yard field goal,0,3
1,1.0,Oilers,Ian Howfield 28 yard field goal,3,3
2,2.0,Patriots,Marv Cook 13 yard pass from Jon Vaughn (Jason Staurovsky kick),3,10
3,2.0,Oilers,Ian Howfield 38 yard field goal,6,10
4,2.0,Patriots,Leonard Russell 2 yard rush (Jason Staurovsky kick),6,17
5,4.0,Oilers,Curtis Duncan 35 yard pass from Warren Moon (Ian Howfield kick),13,17
6,4.0,Oilers,Curtis Duncan 5 yard pass from Warren Moon (Ian Howfield kick),20,17
7,4.0,Patriots,Greg McMurtry 34 yard pass from Hugh Millen (Jason Staurovsky kick),20,24
