,Quarter,Tm,Detail,NYG,WAS
0,2.0,Giants,Pete Gogolak 10 yard field goal,3,0
1,2.0,Redskins,Charlie Gogolak 36 yard field goal,3,3
2,3.0,Redskins,Ken Barefoot 8 yard blocked punt return (Charlie Gogolak kick),3,10
3,3.0,Giants,Pete Gogolak 18 yard field goal,6,10
4,4.0,Giants,Tucker Frederickson 1 yard rush (Pete Gogolak kick),13,10
