,Quarter,Tm,Detail,PHI,STL
0,1.0,Cardinals,Carl Allen 70 yard interception return (Steve Little kick),0,7
1,2.0,Eagles,Ron Jaworski 1 yard rush (Tony Franklin kick),7,7
2,2.0,Cardinals,Steve Little 31 yard field goal,7,10
3,3.0,Cardinals,Ottis Anderson 14 yard rush (Steve Little kick),7,17
4,4.0,Cardinals,Ottis Anderson 37 yard rush (Steve Little kick),7,24
5,4.0,Eagles,Keith Krepfle 9 yard pass from Ron Jaworski (Tony Franklin kick),14,24
