,Quarter,Time,Tm,Detail,LAC,CLE
0,1.0,10:14,Chargers,Melvin Gordon 4 yard rush (Michael Badgley kick),7,0
1,2.0,12:47,Browns,Greg Joseph 33 yard field goal,7,3
2,2.0,6:34,Chargers,Tyrell Williams 45 yard pass from Philip Rivers (Michael Badgley kick),14,3
3,2.0,0:51,Chargers,Tyrell Williams 29 yard pass from Philip Rivers (Michael Badgley kick),21,3
4,2.0,0:00,Browns,Greg Joseph 28 yard field goal,21,6
5,3.0,11:49,Chargers,Melvin Gordon 10 yard rush (Michael Badgley kick),28,6
6,3.0,3:12,Chargers,Melvin Gordon 11 yard rush (Michael Badgley kick),35,6
7,4.0,12:26,Browns,David Njoku 1 yard pass from Baker Mayfield (Antonio Callaway pass from Baker Mayfield),35,14
8,4.0,4:15,Chargers,Michael Badgley 44 yard field goal,38,14
