,Quarter,Tm,Detail,RAM,PIT
0,1.0,Rams,Bob Waterfield 30 yard field goal,3,0
1,1.0,Rams,Bob Waterfield 45 yard field goal,6,0
2,2.0,Rams,Dick Hoerner 4 yard rush (Bob Waterfield kick),13,0
3,2.0,Steelers,Steve Lach 4 yard rush (Joe Glamp kick),13,7
4,2.0,Rams,Jim Benton 11 yard pass from Bob Waterfield (Bob Waterfield kick),20,7
5,3.0,Rams,Kenny Washington 9 yard touchdown on a lateral (Bob Waterfield kick),27,7
6,4.0,Rams,Frank Hubbell 45 yard pass from Bob Waterfield (Bob Waterfield kick),34,7
7,4.0,Rams,Frank Hubbell 15 yard pass from Jim Hardy (Bob Waterfield kick),41,7
8,4.0,Rams,Kenny Washington 6 yard rush (Bob Waterfield kick),48,7
