,Quarter,Tm,Detail,NOR,ATL
0,1.0,Falcons,Dick Shiner 4 yard rush (Bill Bell kick),0,7
1,1.0,Falcons,Harmon Wages 17 yard pass from Dick Shiner (Bill Bell kick),0,14
2,2.0,Falcons,Jim Mitchell 14 yard pass from Dick Shiner (Bill Bell kick),0,21
3,2.0,Saints,Charlie Durkee 28 yard field goal,3,21
4,3.0,Saints,Charlie Durkee 24 yard field goal,6,21
5,4.0,Falcons,Willie Belton 13 yard rush (Bill Bell kick),6,28
