,Quarter,Time,Tm,Detail,BAL,STL
0,1.0,11:12,Rams,Marshall Faulk 5 yard rush (Jeff Wilkins kick),0,7
1,1.0,9:28,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),0,14
2,1.0,5:23,Ravens,Matt Stover 41 yard field goal,3,14
3,2.0,10:11,Ravens,Matt Stover 25 yard field goal,6,14
4,2.0,6:43,Ravens,Jamal Lewis 2 yard rush (pass failed),12,14
5,2.0,4:44,Rams,Adam Archuleta 45 yard defensive fumble return (Jeff Wilkins kick),12,21
6,2.0,1:19,Ravens,Jonathan Ogden 1 yard pass from Kyle Boller (Matt Stover kick),19,21
7,3.0,10:22,Ravens,Matt Stover 41 yard field goal,22,21
8,4.0,14:52,Rams,Jeff Wilkins 49 yard field goal,22,24
9,4.0,9:08,Rams,Jeff Wilkins 46 yard field goal,22,27
10,4.0,5:25,Rams,Jeff Wilkins 48 yard field goal,22,30
11,4.0,1:41,Rams,Jeff Wilkins 27 yard field goal,22,33
