,Quarter,Tm,Detail,NOR,RAM
0,1.0,Saints,Dalton Hilliard 20 yard pass from Bobby Hebert (Morten Andersen kick),7,0
1,1.0,Saints,Morten Andersen 39 yard field goal,10,0
2,1.0,Rams,Henry Ellard 3 yard pass from Jim Everett (Mike Lansford kick),10,7
3,2.0,Saints,Dalton Hilliard 2 yard rush,16,7
4,2.0,Saints,Morten Andersen 27 yard field goal,19,7
5,3.0,Saints,Floyd Turner 54 yard pass from Bobby Hebert (Morten Andersen kick),26,7
6,3.0,Saints,Eric Martin 37 yard pass from Bobby Hebert (Morten Andersen kick),33,7
7,3.0,Rams,Damone Johnson 1 yard pass from Jim Everett (Mike Lansford kick),33,14
8,4.0,Saints,Dalton Hilliard 7 yard rush (Morten Andersen kick),40,14
9,4.0,Rams,Damone Johnson 3 yard pass from Jim Everett (Mike Lansford kick),40,21
