,Quarter,Tm,Detail,PIT,PHI
0,1.0,Eagles,Pete Retzlaff 7 yard pass from Sonny Jurgensen (Bobby Walston kick),0,7
1,2.0,Steelers,Preston Carpenter 12 yard pass from Ed Brown (Lou Michaels kick),7,7
2,2.0,Steelers,Lou Michaels 21 yard field goal,10,7
3,2.0,Steelers,John Henry Johnson 1 yard rush (Lou Michaels kick),17,7
4,3.0,Eagles,Pete Retzlaff 49 yard pass from Sonny Jurgensen (Bobby Walston kick),17,14
5,3.0,Eagles,John Wittenborn 18 yard field goal,17,17
6,4.0,Steelers,Lou Michaels 46 yard field goal,20,17
7,4.0,Steelers,Lou Michaels 28 yard field goal,23,17
8,4.0,Steelers,Lou Michaels 29 yard field goal,26,17
