,Quarter,Time,Tm,Detail,MIN,NOR
0,1,9:56,Saints,Wil Lutz 29 yard field goal,0,3
1,1,4:09,Vikings,Dan Bailey 43 yard field goal,3,3
2,2,9:23,Saints,Alvin Kamara 4 yard rush (Wil Lutz kick),3,10
3,2,2:58,Vikings,Dan Bailey 21 yard field goal,6,10
4,2,0:27,Vikings,Dalvin Cook 5 yard rush (Dan Bailey kick),13,10
5,3,3:30,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),20,10
6,4,10:37,Saints,Taysom Hill 20 yard pass from Drew Brees (Wil Lutz kick),20,17
7,4,0:07,Saints,Wil Lutz 49 yard field goal,20,20
8,OT,10:45,Vikings,Kyle Rudolph 4 yard pass from Kirk Cousins,26,20
