,Quarter,Tm,Detail,RAI,SEA
0,1.0,Seahawks,Norm Johnson 39 yard field goal,0,3
1,2.0,Seahawks,Curt Warner 27 yard pass from Dave Krieg,0,9
2,2.0,Seahawks,Norm Johnson 31 yard field goal,0,12
3,2.0,Seahawks,Byron Walker 56 yard blocked field goal return (Norm Johnson kick),0,19
4,2.0,Seahawks,Terry Taylor 75 yard interception return (Norm Johnson kick),0,26
5,3.0,Raiders,Chris Bahr 30 yard field goal,3,26
6,3.0,Seahawks,Daryl Turner 38 yard pass from Dave Krieg (Norm Johnson kick),3,33
