,Quarter,Tm,Detail,HOU,SDG
0,1.0,Chargers,Jesse Taylor special teams fumble recovery in end zone (Dennis Partee kick),0,7
1,1.0,Chargers,Dennis Partee 31 yard field goal,0,10
2,2.0,Oilers,Skip Butler 49 yard field goal,3,10
3,2.0,Chargers,Dennis Partee 11 yard field goal,3,13
4,2.0,Chargers,Cid Edwards 1 yard rush (Dennis Partee kick),3,20
5,3.0,Chargers,Cid Edwards 31 yard rush (Dennis Partee kick),3,27
6,4.0,Oilers,Skip Butler 47 yard field goal,6,27
7,4.0,Chargers,Dave Williams 3 yard pass from John Hadl (Dennis Partee kick),6,34
8,4.0,Oilers,Rhett Dawson 3 yard pass from Dan Pastorini (Skip Butler kick),13,34
9,4.0,Oilers,Fred Willis 7 yard pass from Kent Nix (Skip Butler kick),20,34
