,Quarter,Time,Tm,Detail,LAR,ATL
0,1.0,11:28,Falcons,Matt Bryant 52 yard field goal,0,3
1,1.0,1:47,Rams,Greg Zuerlein 55 yard field goal,3,3
2,2.0,11:22,Rams,Todd Gurley 13 yard pass from Jared Goff (Greg Zuerlein kick),10,3
3,2.0,2:00,Rams,Greg Zuerlein 25 yard field goal,13,3
4,3.0,10:40,Rams,Gerald Everett 8 yard pass from Jared Goff (Greg Zuerlein kick),20,3
5,3.0,6:39,Rams,Jared Goff 1 yard rush (Greg Zuerlein kick),27,3
6,4.0,5:46,Rams,Greg Zuerlein 20 yard field goal,30,3
7,4.0,2:41,Falcons,Austin Hooper 10 yard pass from Matt Schaub (Matt Bryant kick),30,10
8,4.0,0:28,Rams,Darious Williams fumble recovery in end zone (Greg Zuerlein kick),37,10
