,Quarter,Tm,Detail,RAM,DAL
0,1.0,Rams,David Hill 18 yard pass from Vince Ferragamo (Mike Lansford kick),7,0
1,2.0,Cowboys,Tony Hill 14 yard pass from Danny White (Rafael Septien kick),7,7
2,3.0,Cowboys,Rafael Septien 41 yard field goal,7,10
3,3.0,Rams,Preston Dennard 16 yard pass from Vince Ferragamo (Mike Lansford kick),14,10
4,4.0,Rams,George Farmer 8 yard pass from Vince Ferragamo (Mike Lansford kick),21,10
5,4.0,Rams,Mike Lansford 20 yard field goal,24,10
6,4.0,Cowboys,Doug Cosbie 2 yard pass from Danny White (Rafael Septien kick),24,17
