,Quarter,Tm,Detail,CRD,WAS
0,1.0,Cardinals,Gaynell Tinsley 55 yard pass from Doug Russell (Conway Baker kick),7,0
1,1.0,Redskins,Charley Malone 25 yard pass from Sammy Baugh (Riley Smith kick),7,7
2,1.0,Cardinals,Gaynell Tinsley 40 yard pass from George Grosvenor (Conway Baker kick),14,7
3,3.0,Redskins,Cliff Battles 12 yard pass from Sammy Baugh (Riley Smith kick),14,14
4,4.0,Cardinals,Gaynell Tinsley 25 yard pass from George Grosvenor (Conway Baker kick),21,14
