,Quarter,Tm,Detail,NYG,GNB
0,2.0,Packers,Tom Nash 15 yard pass from Verne Lewellen (Red Dunn kick),0,7
1,2.0,Giants,Len Sedbrook 20 yard pass from Benny Friedman (Benny Friedman kick),7,7
2,4.0,Packers,Johnny Blood 70 yard pass from Red Dunn (Red Dunn kick),7,14
