,Quarter,Time,Tm,Detail,DET,DAL
0,1.0,6:58,Cowboys,Marion Barber III 6 yard rush (Billy Cundiff kick),0,7
1,2.0,6:39,Cowboys,Billy Cundiff 19 yard field goal,0,10
2,2.0,2:49,Lions,Kevin Jones 2 yard rush (Jason Hanson kick),7,10
3,2.0,0:03,Cowboys,Billy Cundiff 56 yard field goal,7,13
4,3.0,2:21,Cowboys,Marion Barber III 4 yard rush (Billy Cundiff kick),7,20
