,Quarter,Tm,Detail,CRD,DET
0,1.0,Cardinals,Billy Dewell 25 yard pass from Paul Christman (Ward Cuff kick),7,0
1,2.0,Cardinals,Billy Dewell 53 yard pass from Paul Christman,13,0
2,2.0,Cardinals,Paul Christman 2 yard rush (Ward Cuff kick),20,0
3,2.0,Cardinals,Ward Cuff 17 yard pass from Paul Christman (Ward Cuff kick),27,0
4,3.0,Cardinals,"Safety, Ryan pass blocked by Blackburn out of end",29,0
5,3.0,Cardinals,Pop Ivy 9 yard pass from Paul Christman (Ward Cuff kick),36,0
6,3.0,Lions,Jim Callahan 6 yard rush (Chuck DeShane kick),36,7
7,4.0,Lions,Dave Ryan 3 yard rush (Chuck DeShane kick),36,14
