,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Doug Cosbie 22 yard pass from Steve Pelluer (Rafael Septien kick),7,0
1,3.0,Eagles,Randall Cunningham 14 yard rush (Paul McFadden kick),7,7
2,3.0,Cowboys,Tony Dorsett 15 yard rush (Rafael Septien kick),14,7
3,4.0,Eagles,Mike Quick 15 yard pass from Randall Cunningham (Paul McFadden kick),14,14
4,4.0,Cowboys,Rafael Septien 38 yard field goal,17,14
