,Quarter,Tm,Detail,CHI,MIN
0,1.0,Vikings,Gene Washington 20 yard pass from Joe Kapp (Fred Cox kick),0,7
1,2.0,Bears,Brian Piccolo 7 yard rush (Mac Percival kick),7,7
2,2.0,Vikings,Fred Cox 48 yard field goal,7,10
3,2.0,Vikings,John Beasley 13 yard pass from Joe Kapp (Fred Cox kick),7,17
4,3.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),7,24
5,4.0,Vikings,Clint Jones 80 yard rush (Fred Cox kick),7,31
6,4.0,Bears,Gale Sayers 24 yard rush (Mac Percival kick),14,31
