,Quarter,Time,Tm,Detail,ARI,TAM
0,1.0,,Buccaneers,Alshermond Singleton 28 yard blocked punt return,0,6
1,2.0,,Buccaneers,Reidel Anthony 8 yard pass from Trent Dilfer (run failed),0,12
2,2.0,,Cardinals,Rob Moore 21 yard pass from Kent Graham (Kevin Butler kick),7,12
3,3.0,,Cardinals,Kevin Butler 37 yard field goal,10,12
4,3.0,,Cardinals,Aeneas Williams 42 yard interception return (Frank Sanders pass from Kent Graham),18,12
5,4.0,,Buccaneers,Karl Williams 31 yard pass from Trent Dilfer (Michael Husted kick),18,19
