,Quarter,Tm,Detail,BUF,IND
0,1.0,Colts,Dean Biasucci 52 yard field goal,0,3
1,2.0,Bills,Andre Reed 23 yard pass from Jim Kelly (Scott Norwood kick),7,3
2,4.0,Bills,Andre Reed 6 yard pass from Jim Kelly (Scott Norwood kick),14,3
3,4.0,Colts,Matt Bouza 3 yard pass from Gary Hogeboom (Dean Biasucci kick),14,10
4,4.0,Colts,Albert Bentley 7 yard pass from Gary Hogeboom (Dean Biasucci kick),14,17
