,Quarter,Tm,Detail,TAM,NOR
0,1.0,Saints,Dalton Hilliard 8 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,2.0,Buccaneers,Broderick Thomas 56 yard interception return (Ken Willis kick),7,7
2,2.0,Saints,Morten Andersen 31 yard field goal,7,10
3,3.0,Saints,Dalton Hilliard 17 yard rush (Morten Andersen kick),7,17
4,3.0,Saints,Morten Andersen 45 yard field goal,7,20
5,3.0,Buccaneers,Willie Drewrey 4 yard pass from Steve DeBerg (Ken Willis kick),14,20
6,4.0,Buccaneers,Reggie Cobb 4 yard rush (Ken Willis kick),21,20
7,4.0,Saints,Morten Andersen 50 yard field goal,21,23
