,Quarter,Tm,Detail,NYG,CHI
0,1.0,Giants,Ken Strong 41 yard pass from Harry Newman (Ken Strong kick),7,0
1,2.0,Bears,Bill Hewitt 29 yard pass from Keith Molesworth (Jack Manders kick),7,7
2,4.0,Giants,Ken Strong 26 yard field goal,10,7
3,4.0,Bears,Bill Karr 11 yard pass from Keith Molesworth (Jack Manders kick),10,14
