,Quarter,Tm,Detail,BUF,SEA
0,1.0,Bills,Scott Norwood 27 yard field goal,3,0
1,2.0,Seahawks,Norm Johnson 41 yard field goal,3,3
2,2.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),10,3
3,4.0,Bills,Scott Norwood 23 yard field goal,13,3
