,Quarter,Time,Tm,Detail,WAS,CHI
0,1.0,10:12,Redskins,John Hall 27 yard field goal,3,0
1,1.0,9:57,Bears,Marty Booker 59 yard pass from Rex Grossman (Paul Edinger kick),3,7
2,1.0,2:45,Bears,Paul Edinger 19 yard field goal,3,10
3,1.0,0:48,Redskins,Chad Morton 36 yard pass from Rod Gardner (John Hall kick),10,10
4,2.0,0:16,Redskins,Laveranues Coles 14 yard pass from Tim Hasselbeck (John Hall kick),17,10
5,3.0,8:23,Bears,Justin Gage 11 yard pass from Rex Grossman (Paul Edinger kick),17,17
6,3.0,0:34,Bears,Anthony Thomas 3 yard rush (Paul Edinger kick),17,24
7,4.0,12:52,Redskins,Laveranues Coles 19 yard pass from Tim Hasselbeck (John Hall kick),24,24
8,4.0,0:05,Bears,Paul Edinger 45 yard field goal,24,27
