,Quarter,Tm,Detail,HOU,DEN
0,1.0,Broncos,John Embree 79 yard pass from Steve Tensi (Bobby Howfield kick),0,7
1,1.0,Broncos,Bobby Howfield 27 yard field goal,0,10
2,2.0,Oilers,Roy Gerela 18 yard field goal,3,10
3,4.0,Broncos,Bobby Howfield 9 yard field goal,3,13
4,4.0,Broncos,Bill Thompson 57 yard interception return (Bobby Howfield kick),3,20
5,4.0,Oilers,Tom Domres 38 yard defensive fumble return (Roy Gerela kick),10,20
6,4.0,Oilers,Jerry LeVias 86 yard pass from Pete Beathard (Roy Gerela kick),17,20
7,4.0,Oilers,Roy Gerela 19 yard field goal,20,20
