,Quarter,Tm,Detail,NOR,ATL
0,2.0,Falcons,Nick Mike-Mayer 47 yard field goal,0,3
1,2.0,Saints,Paul Seal 36 yard pass from Bobby Scott (Bill McClard kick),7,3
2,2.0,Saints,Bill McClard 41 yard field goal,10,3
3,3.0,Saints,Bill McClard 31 yard field goal,13,3
