,Quarter,Tm,Detail,SEA,PHI
0,1.0,Eagles,Anthony Toney 1 yard rush (Luis Zendejas kick),0,7
1,1.0,Seahawks,Steve Largent 23 yard pass from Dave Krieg (Norm Johnson kick),7,7
2,2.0,Eagles,Luis Zendejas 24 yard field goal,7,10
3,2.0,Eagles,Cris Carter 8 yard pass from Randall Cunningham (Luis Zendejas kick),7,17
4,3.0,Eagles,Mike Quick 8 yard pass from Randall Cunningham (Luis Zendejas kick),7,24
5,4.0,Eagles,Eric Everett 30 yard interception return (Luis Zendejas kick),7,31
