,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,George Blanda 29 yard field goal,0,3
1,2.0,Bears,Harlon Hill 68 yard pass from Ed Brown (George Blanda kick),0,10
2,3.0,Bears,Don Bingham 100 yard kickoff return (George Blanda kick),0,17
3,3.0,Rams,Billy Wade 2 yard rush (Les Richter kick),7,17
4,3.0,Rams,Tank Younger 2 yard rush (Les Richter kick),14,17
5,3.0,Bears,Rick Casares 1 yard rush (George Blanda kick),14,24
6,4.0,Bears,Rick Casares 2 yard rush,14,30
7,4.0,Rams,Bob Carey 15 yard pass from Billy Wade (Les Richter kick),21,30
