,Quarter,Tm,Detail,CHI,CRD
0,2.0,Bears,Jack Manders 20 yard field goal,3,0
1,2.0,Bears,Jack Manders 35 yard field goal,6,0
2,2.0,Bears,Gene Ronzani 37 yard pass from Carl Brumbaugh (Jack Manders kick),13,0
3,4.0,Bears,Beattie Feathers 7 yard rush (Jack Manders kick),20,0
