,Quarter,Tm,Detail,RAM,GNB
0,1.0,Rams,Bernie Casey 29 yard pass from Roman Gabriel (Bruce Gossett kick),7,0
1,2.0,Packers,Travis Williams 46 yard rush (Don Chandler kick),7,7
2,2.0,Packers,Carroll Dale 17 yard pass from Bart Starr (Don Chandler kick),7,14
3,3.0,Packers,Chuck Mercein 6 yard rush (Don Chandler kick),7,21
4,4.0,Packers,Travis Williams 2 yard rush (Don Chandler kick),7,28
