,Quarter,Tm,Detail,DET,SFO
0,1.0,49ers,Joe Perry 2 yard rush (Gordie Soltau kick),0,7
1,2.0,49ers,Gordie Soltau 33 yard field goal,0,10
2,2.0,Lions,Dorne Dibble 47 yard pass from Bobby Layne (Doak Walker kick),7,10
3,4.0,Lions,Ollie Cline 24 yard pass from Bobby Layne (Doak Walker kick),14,10
