,Quarter,Tm,Detail,DAL,HOU
0,1.0,Oilers,Mike Renfro 54 yard pass from Archie Manning (Florian Kempf kick),0,7
1,2.0,Cowboys,Butch Johnson 21 yard pass from Danny White (Rafael Septien kick),7,7
2,2.0,Cowboys,Rafael Septien 22 yard field goal,10,7
3,2.0,Cowboys,Butch Johnson 18 yard pass from Danny White (Rafael Septien kick),17,7
4,3.0,Cowboys,Rafael Septien 36 yard field goal,20,7
5,3.0,Cowboys,Michael Downs 86 yard defensive fumble return (Rafael Septien kick),27,7
6,4.0,Cowboys,Timmy Newsome 46 yard pass from Danny White (Rafael Septien kick),34,7
7,4.0,Cowboys,Rafael Septien 53 yard field goal,37,7
