,Quarter,Time,Tm,Detail,ATL,PHI
0,1.0,4:17,Eagles,Ryan Mathews 4 yard rush (Caleb Sturgis kick),0,7
1,2.0,9:36,Falcons,Matt Bryant 38 yard field goal,3,7
2,2.0,2:59,Falcons,Matt Bryant 43 yard field goal,6,7
3,3.0,8:16,Eagles,Caleb Sturgis 29 yard field goal,6,10
4,3.0,4:46,Falcons,Matt Bryant 46 yard field goal,9,10
5,4.0,13:50,Eagles,Caleb Sturgis 25 yard field goal,9,13
6,4.0,13:15,Falcons,Taylor Gabriel 76 yard pass from Matt Ryan (Matt Bryant kick failed),15,13
7,4.0,6:49,Eagles,Ryan Mathews 5 yard rush (Ryan Mathews run),15,21
8,4.0,1:57,Eagles,Caleb Sturgis 48 yard field goal,15,24
