,Quarter,Time,Tm,Detail,PHI,ATL
0,1.0,10:55,Falcons,Matt Bryant 41 yard field goal,0,3
1,2.0,10:44,Falcons,Julio Jones 4 yard pass from Matt Ryan (Matt Bryant kick),0,10
2,2.0,7:18,Eagles,Cody Parkey 29 yard field goal,3,10
3,2.0,1:05,Falcons,Matt Bryant 39 yard field goal,3,13
4,2.0,0:45,Falcons,Julio Jones 22 yard pass from Matt Ryan (Matt Bryant kick),3,20
5,3.0,13:13,Eagles,DeMarco Murray 8 yard rush (Cody Parkey kick),10,20
6,3.0,3:39,Eagles,DeMarco Murray 5 yard pass from Sam Bradford (Cody Parkey kick),17,20
7,4.0,10:49,Falcons,Matt Bryant 44 yard field goal,17,23
8,4.0,8:37,Eagles,Ryan Mathews 1 yard rush (Cody Parkey kick),24,23
9,4.0,6:27,Falcons,Matt Bryant 47 yard field goal,24,26
