,Quarter,Time,Tm,Detail,CLE,SDG
0,1.0,9:30,Browns,Phil Dawson 33 yard field goal,3,0
1,1.0,1:08,Chargers,John Carney 44 yard field goal,3,3
2,2.0,8:01,Chargers,John Carney 19 yard field goal,3,6
3,2.0,2:11,Chargers,Kenny Bynum 1 yard rush (John Carney kick),3,13
4,2.0,0:06,Browns,Kevin Johnson 19 yard pass from Tim Couch (Phil Dawson kick),10,13
5,3.0,7:41,Chargers,John Carney 30 yard field goal,10,16
6,4.0,6:28,Chargers,Jermaine Fazande 2 yard rush (John Carney kick),10,23
