,Quarter,Time,Tm,Detail,CLE,PIT
0,1.0,1:50,Steelers,Kris Brown 44 yard field goal,0,3
1,2.0,7:41,Steelers,Jerome Bettis 1 yard rush (Kris Brown kick),0,10
2,2.0,1:54,Steelers,Kris Brown 20 yard field goal,0,13
3,3.0,7:43,Steelers,Kris Brown 31 yard field goal,0,16
4,4.0,12:00,Steelers,Kris Brown 26 yard field goal,0,19
5,4.0,1:34,Steelers,Kris Brown 33 yard field goal,0,22
