,Quarter,Tm,Detail,GNB,ATL
0,1.0,Packers,Eddie Lee Ivery 2 yard rush (Jan Stenerud kick),7,0
1,2.0,Packers,Eddie Lee Ivery 12 yard rush (Jan Stenerud kick),14,0
2,2.0,Falcons,William Andrews 3 yard pass from Steve Bartkowski (Mick Luckhurst kick),14,7
3,2.0,Packers,James Lofton 80 yard pass from Lynn Dickey (Jan Stenerud kick),21,7
4,3.0,Packers,James Lofton 57 yard pass from Lynn Dickey (Jan Stenerud kick),28,7
5,4.0,Packers,Del Rodgers 9 yard rush (Jan Stenerud kick),35,7
6,4.0,Packers,Jan Stenerud 22 yard field goal,38,7
