,Quarter,Tm,Detail,STL,BAL
0,1.0,Colts,Willie Richardson 79 yard pass from Earl Morrall (Lou Michaels kick),0,7
1,2.0,Colts,Lou Michaels 13 yard field goal,0,10
2,2.0,Colts,Lou Michaels 27 yard field goal,0,13
3,3.0,Colts,Willie Richardson 29 yard pass from Earl Morrall (Lou Michaels kick),0,20
4,4.0,Colts,Tom Matte 1 yard pass from Earl Morrall (Lou Michaels kick),0,27
