,Quarter,Time,Tm,Detail,HOU,DEN
0,1.0,7:11,Texans,Nick Novak 43 yard field goal,3,0
1,1.0,0:21,Texans,Nick Novak 43 yard field goal,6,0
2,2.0,9:10,Broncos,C.J. Anderson 7 yard rush (Brandon McManus kick),6,7
3,2.0,4:04,Broncos,Demaryius Thomas 4 yard pass from Trevor Siemian (Brandon McManus kick),6,14
4,3.0,9:09,Texans,Nick Novak 29 yard field goal,9,14
5,3.0,0:40,Broncos,Devontae Booker 1 yard rush (Brandon McManus kick),9,21
6,4.0,11:36,Broncos,Brandon McManus 22 yard field goal,9,24
7,4.0,1:57,Broncos,Brandon McManus 32 yard field goal,9,27
