,Quarter,Time,Tm,Detail,DEN,CIN
0,1.0,8:13,Broncos,Detron Smith 1 yard pass from Brian Griese (Jason Elam kick),7,0
1,2.0,12:41,Bengals,Neil Rackers 24 yard field goal,7,3
2,2.0,5:40,Broncos,Mike Anderson 3 yard rush (Jason Elam kick),14,3
3,2.0,5:13,Bengals,Peter Warrick 77 yard rush (Neil Rackers kick),14,10
4,3.0,8:53,Bengals,Brandon Bennett 19 yard rush (Neil Rackers kick),14,17
5,4.0,4:58,Bengals,Corey Dillon 65 yard rush (Neil Rackers kick),14,24
6,4.0,3:43,Broncos,Rod Smith 28 yard pass from Brian Griese (Jason Elam kick),21,24
7,4.0,1:49,Bengals,Corey Dillon 41 yard rush (Neil Rackers kick),21,31
