,Quarter,Time,Tm,Detail,GNB,ARI
0,1,11:04,Cardinals,Tim Hightower 1 yard rush (Neil Rackers kick),0,7
1,1,9:16,Cardinals,Early Doucet 15 yard pass from Kurt Warner (Neil Rackers kick),0,14
2,1,0:34,Cardinals,Neil Rackers 23 yard field goal,0,17
3,2,6:52,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),7,17
4,2,2:16,Cardinals,Early Doucet 15 yard pass from Kurt Warner (Neil Rackers kick),7,24
5,2,0:00,Packers,Mason Crosby 20 yard field goal,10,24
6,3,11:15,Cardinals,Larry Fitzgerald 33 yard pass from Kurt Warner (Neil Rackers kick),10,31
7,3,7:20,Packers,Greg Jennings 6 yard pass from Aaron Rodgers (Mason Crosby kick),17,31
8,3,4:07,Packers,Jordy Nelson 11 yard pass from Aaron Rodgers (Mason Crosby kick),24,31
9,3,2:34,Cardinals,Larry Fitzgerald 11 yard pass from Kurt Warner (Neil Rackers kick),24,38
10,4,14:08,Packers,James Jones 30 yard pass from Aaron Rodgers (Mason Crosby kick),31,38
11,4,10:57,Packers,John Kuhn 1 yard rush (Mason Crosby kick),38,38
12,4,4:55,Cardinals,Steve Breaston 17 yard pass from Kurt Warner (Neil Rackers kick),38,45
13,4,1:52,Packers,Spencer Havner 11 yard pass from Aaron Rodgers (Mason Crosby kick),45,45
14,OT,13:42,Cardinals,Karlos Dansby 17 yard defensive fumble return,45,51
